id,claim,company,evidence,label
claim_00229,Even lower-demand scenarios like the International Energy Agency’s Net Zero by 2050 (IEA NZE) project growth in plastics.,Exxonmobil,"Unpacking ExxonMobil’s push for sustainable plastics. || (World Oil)– ExxonMobil said net zero goals for the global energy sector are likely to drift further beyond 2050 due to consumers pushing back against high costs and a revival in demand for coal, the most polluting fossil fuel. || The announcement comes amid increasing public concern about the plastic sector’s environmental and climate impact.",3
claim_00052,We therefore are investing in our water positive commitment in four ways: 1 We are taking action to reduce the intensity with which we withdraw resources by continuing to design and innovate in order to minimize water use and achieve our intensity target.,Microsoft,"Amazon’s Water Positive campaign remains active but continues to exclude secondary water use from its accounting, and the company has not made its overall water consumption public. || This work resulted in an “action plan” in which both organizations highlighted the severe water crisis in the area and proposed several recommendations. || However, critics point out that the company is becoming even more resource-intensive, with both energy and water use rising to the point of overstressing local supplies and networks.",5
claim_00564,"That means we must diversify our energy portfolio with additional reliable carbonfree sources, so we remain on track to reach net-zero carbon emissions by 2040.",Amazon,"Amazon has started some sustainability initiatives, including its Climate Pledge to reach net-zero carbon by 2040.",1
claim_00502,"Over the past five years, we’ve done this by encouraging companies to join The Climate Pledge—and we’re proud that over 500 have joined us and committed to be net-zero carbon 10 years ahead of the Paris Agreement.",Amazon,"Sarah Dimson-Tararuj, Head of Strategic Projects and Programs at The Climate Pledge–Amazon, added: “The commitment of companies like VEMO highlights the power of cross-sector collaboration to meet the ambitious target of The Climate Pledge: net-zero carbon emissions by 2040. || This year’s United Nations climate summit promises to be symbolic, marking a decade since the Paris Agreement and taking place in the environmentally vulnerable Amazon. || Amazon was a founding signatory of The Climate Pledge, a global commitment to achieve net-zero carbon emissions by 2040.",2
claim_00458,LinkedIn Advancing waste reduction LinkedIn contributed to our zero waste achievements by advancing waste reduction across its offices and datacenters.,Microsoft,"LinkedIn is now home to 1.2 billion members, and we are bringing AI agents into the core workflows of sales, hiring, and learning. || And we're introducing new LinkedIn courses for teachers and students, enabling them to earn LinkedIn certifications that will help boost their resumes and open doors.Across all of this, one thing is clear: People want technology they can trust. || In May of this year, the company joined the European organization Net Zero Innovation Hub for Data Centers as a Project HubPartner, joining Google and MicroSoft along with Danfoss, Data4, Schneider Electric, and Vertiv in the decarbonization effort.",3
claim_00286,"While we’ve seen progress in key markets, we continue to advocate for policies that enable renewable energy to compete fairly with fossil fuels and subsidized power rates, opening more avenues for our suppliers to transition to sourcing 100 percent renewable electricity (see page 71).",Apple,"The agreement contributes to Poland’s target of generating 50 percent of its electricity from renewable sources by 2030. || Officials say it’s part of their mission to expand renewable energy and foster economic development. || Building business, one energy supplier at a time Speaking to PA News Agency, Jackson stressed that the move to renewables is a business decision.",1
claim_00210,"By 2022, we had contracted enough renewable energy capacity to match our 2025 projections.",Amazon,"February 09, 2023 | 10:09
On February 8, Amazon announced that in 2022 it grew its renewable energy capacity by 8.3GW through 133 new projects across 11 countries. || The likely reason for the record growth between 2023 and 2024 was a large contribution from wildfire emissions and a reduced uptake of CO2 by land and the ocean in 2024—the warmest year on record, with a strong El Niño. || The likely reason for the record growth between 2023 and 2024 was a large contribution from wildfire emissions and a reduced uptake of CO2 by land and the ocean in 2024 -- the warmest year on record, with a strong El Nino.",2
claim_01117,| 2024 Advancing Climate Solutions 80 We are pursuing third-party carbon emissions reductions of more than 50 million metric tons per year by 2030 We see the opportunity to help other essential industries and customers achieve their goals to lower emissions.,Exxonmobil,"In 2021, ExxonMobil announced Scope 1 and 2 greenhouse gas emission-reduction plans for 2030 for operated assets, compared to 2016 levels.",3
claim_00179,"By the end of 2024, Amazon had eight solar energy projects paired with battery energy storage systems, representing 2.1 GW of capacity, up from 1.9 GW in 2023.",Amazon,"February 09, 2023 | 10:09
On February 8, Amazon announced that in 2022 it grew its renewable energy capacity by 8.3GW through 133 new projects across 11 countries. || Amazon also invests heavily in renewable energy, supporting over 500 solar and wind projects that power its operations. || Amazon has more than 600 renewable energy projects worldwide.",2
claim_01210,It tracks business alignment with a net-zero emissions future and the Paris Agreement goal of limiting global temperature rise to 1.5°C.,Shell,The project was first announced in 2021 as part of plans to help Europe meet internationally binding emissions reduction targets.,3
claim_00865,"The Supplier Energy Efficiency Program, launched in 2015, helps suppliers optimize their energy use.",Apple,"As part of its 2030 goal to achieve carbon neutrality across the supply chain, the company is assisting suppliers in upgrading to energy-efficient equipment and adopting sustainable materials. || Central to this effort is the launch of the American Manufacturing Program (AMP), aimed at strengthening supply chains, boosting local production, and encouraging global suppliers to manufacture more critical components within the United States.",1
claim_00066,"Replacing with 100/100/0 carbon-free energy By 2030, 100% of our electricity consumption will be matched by zero carbon energy purchases 100% of the time.",Microsoft,"“We need our suppliers also to be getting onto 100% carbon-free energy” said Haig. || Constellation is projected to produce 95% of its energy carbon free by 2030 and 100% a decade later. || Regional Responsibility: Energy Transition & Training Initiatives
The total energy consumption of all Microsoft datacenters will be covered 100 percent by carbon free energy purchases by the end of 2025.",2
claim_00062,"In 2020, we made a bold set of commitments: to be a carbon negative, water positive, zero waste company that protects ecosystems—all by 2030.",Microsoft,The company has committed to becoming carbon negative by 2030.,1
claim_00192,"In 2021, we made an ambitious pledge to protect nature and mitigate climate change through co-founding the Lowering Emissions by Accelerating Forest Finance (LEAF) Coalition .",Amazon,"The protection of the forest is important to tackle climate change through carbon sequestration. || “Our finding stresses … that ambitious actions should be taken to slow down climate change, including in relation to protecting tropical forests,” says study coauthor David Bauman, a plant ecologist at the French National Research Institute for Sustainable Development in Marseille. || Leaders from industry, conservation and academia will discuss promising ways to stop deforestation and finance nature-based solutions.",3
claim_00448,"From achieving zero waste validation at five offices to deploying innovative solutions for waste prevention and diversion, we are transforming our operations to minimize environmental impact.",Microsoft,"Critics of the decision point to two major issues:
- Environmental Costs — The mass disposal of millions of working PCs contributes to global e-waste problems, with toxic components leaching into soil and water. || Cities can turn “waste” into an asset.",5
claim_00477,"In 2024, we saw widespread adoption of the Xbox Sustainability Toolkit by both first- and third-party studios.",Microsoft,"This mandate has led to Xbox’s response, which has in the last couple of years revolved around cancelling several of its in-development projects, shuttering some of its studios, and even letting go of thousands of its employees. || Along with the move we've already seen Xbox make towards cross-platform releases which aim to maximise the cash a game can bring in, rather than using it as a tool to try and tempt players onto Xbox consoles or Game Pass, the report cites sources as having pointed to an increasing risk averseness in terms of the games Microsoft green light as a likely consequence going forwards. || Microsoft’s pledge to achieve carbon neutrality by 2030 illustrates how sustainability enhances both impact and brand reputation.",3
claim_01035,"A new solar plant at our Almussafes manufacturing facilities in Valencia is one more step toward Ford’s goal of carbon neutrality across our European footprint of facilities, logistics and Tier 1 suppliers by 2035.",Ford,"“Ford Motor Company popped up, and I had looked at it, and it showed me that they were putting in a bank of solar panels on a parking lot,” Ruhe said.",3
claim_00055,"In 2023, we continued this work to empower our customers and partners on their own sustainability journey by creating the technology needed to better manage resources and optimize systems.",Microsoft,"The council said that the new ICT system will support “climate and biodiversity ambitions” as it will lead to lower energy consumption and allow them to consolidate underused spaces, “reducing the need for additional office buildings and travel”. || The site is now delivering affordable renewable energy to the grid through a long-term partnership with Microsoft. || Microsoft’s neocloud partnerships may distribute this burden across more facilities, but they amplify demands on power grids, prompting calls for sustainable innovations in cooling and energy efficiency.",2
claim_01150,"If the world follows a path to net-zero emissions by 2050, the figure could go down to 50%.",Shell,"The company also lowered its emissions reduction target for 2030 from 20% to 15–20% and dropped its 2035 emissions goal. || By contrast, the Philippines has contributed just 0.2% of global carbon emissions.",3
claim_00408,"In support of these targets for our suppliers, Microsoft is working in countries with a significant supply chain footprint to identify and solve for specific policy, technology, and finance barriers to carbon-free electricity access, prioritizing impact by 2030.",Microsoft,"Microsoft isn’t alone in this, but it is a heavy hitter in both market share and the size of its carbon footprint. || In its 2024 reporting year, Microsoft massively increased its offset purchases, contracting an amount above its full-year Scope 1, 2 and 3 emissions.”
Microsoft is alongside Google, Meta and Apple in having committed to achieving carbon neutrality across their value chains by 2030.",3
claim_00860,"In Tokyo, 67 representatives from 24 Japanese suppliers attended a workshop focusing on the implementation of a zero-waste landfill project.",Apple,"These free workshops are a core part of the in-store experience, allowing customers to explore creativity, learn about new features, and get the most out of their devices. || Moreover, numerous companies across the globe are committing to zero-waste goals. || The recycling results were particularly strong in JD’s trade-in scenarios.",3
claim_00452,"This included refurbishing, reusing, and recycling devices, with 1,600 used Surface devices repurposed for spares warranty reuse.",Microsoft,"This includes designing our devices for optimal repair, reuse, and recovery. || Microsoft highlighted sustainability in the Surface Pro 12-inch, using 82.9% recycled materials in the enclosure, 100% recycled cobalt in the battery, and replaceable components to reduce e-waste. || Microsoft operates trade-in and recycling schemes and publishes out-of-warranty repair costs and product environmental impact reports.",1
claim_00920,"Non-Financial Statement 2024 31 Part 2 – Environmental Disclosures In 2024, Nestlé looked for ways to support the development of ambitious and investible Nationally Determined Contributions (NDCs) on climate from countries which are due to be updated and submitted by February 2025 by Parties to the United Nations Framework Convention on Climate Change (UNFCCC).",Nestle,"By the end of 2024, Nestle had reduced methane emissions by almost 21% compared to 2018 levels, the company said in its 2024 non-financial statement. || Nestle did not say why it was pulling out of the alliance but said it would continue working towards reducing greenhouse gas emissions, including methane, throughout its supply chains and was sticking to its net zero commitment by 2050.",3
claim_01207,"In terms of management quality, in 2023, we received the highest score of four (strategic assessment) for the management of our greenhouse gas emissions, and of risks and opportunities related to the low-carbon transition.",Shell,"Such future operating plans and outlooks could include changes to our portfolio, efficiency improvements and the use of carbon capture and storage and carbon credits. || We are reducing our emissions, helping customers reduce theirs, and investing in the low-carbon energy system of the future.",3
claim_00570,We’ll continue to evaluate our energy strategy to meet the needs of our customers and achieve our commitment to reach net-zero carbon emissions by 2040.,Amazon,"Amazon has started some sustainability initiatives, including its Climate Pledge to reach net-zero carbon by 2040.",1
claim_00014,Our total revised 2021 GHG emissions are 121 million tonnes of carbon dioxide equivalent (CO2e) and include 65 million tonnes of GHG emissions related to indirect consumer use.,Unilever,"The company has a broader goal to achieve net-zero emissions across its value chain by 2039. || These companies must share the handling and disposal cost for the entire quantity of plastic waste generated, which is around 150 kilograms in Coonoor. || With advancements in carbon capture integration, renewable feedstocks, and growing consumer awareness, carbon-negative plastics are emerging as a vital enabler of climate goals and circular economy transitions.",3
claim_00327,Pushing toward zero-waste innovation We use novel recycling strategies and approaches to divert greater quantities of waste from landfill in our supplier facilities at greater rates.,Apple,"Moreover, numerous companies across the globe are committing to zero-waste goals. || This significantly accelerates MP Materials Corp.'s entry into recycling at scale with substantial potential upside. || Multinational corporations such as Unilever and Apple Inc have publicly pledged to reduce or eliminate waste.",3
claim_00866,"In 2024, we delivered keynote addresses at the International Electronics Recycling Congress (IERC) and the World Circular Economy Forum (WCEF), as well as presented research papers at the Electronics Goes Green scientific conference on environmental topics such as eco-design and climate action.",Apple,"We’ll also dive into its sustainability credentials, crafted with 40% recycled materials and powered by renewable energy during manufacturing. || The second question is, could you share some progress regarding new cooperation channels with brand manufacturers in the recycling sector? || - Sustainability is a key focus, with 40% recycled materials, renewable electricity in manufacturing, and fully recyclable packaging, reflecting Apple’s commitment to environmental responsibility.",3
claim_00697,"Base year: When setting our carbon reduction ambition in 2021, the most recent emissions inventory available was from 2020.",Google,"In 2021, we set out an ambition to reach net-zero emissions across all of our operations and value chain by 2030. || In 2021, Google set a lofty goal of achieving net-zero carbon emissions by 2030. || Its emissions swelled by 51% from 2019 to 2024 and grew 11% last year alone, despite prioritizing sustainable practices and pledging to achieve net zero emissions by 2030.",3
claim_00319,"Since we launched the Zero Waste Program for our manufacturing partners in 2015, we’ve continued to make considerable progress.",Apple,"Moreover, numerous companies across the globe are committing to zero-waste goals. || So we have made a lot of progress. || We’ll also dive into its sustainability credentials, crafted with 40% recycled materials and powered by renewable energy during manufacturing.",3
claim_00441,"In 2020, we made a commitment to be zero waste by 2030—an effort to support the global transition out of the traditional “take, make, waste” linear economic model to a circular economy.",Microsoft,"“Once you start capturing waste, you create an incentive to produce waste, so you have to be very careful about the perverse incentives,” says Danny Cullenward, a researcher and senior fellow at the Kleinman Center for Energy Policy at the University of Pennsylvania who studies carbon markets. || The push for 2050 Net Zero was always a political maneuver, not a scientific necessity.Â Tech giants like Google and Microsoft pledged carbon neutrality by 2030 â before the AI boom. || Cities can turn “waste” into an asset.",3
claim_00690,"Our scope 1 emissions reduction efforts to date have focused on electrification, refrigerant mitigation, and renewable fuel use.",Google,"By including both Scope 2 emissions (direct emissions from energy use) and Scope 3 emissions (indirect emissions from supply chains), Google positioned the study as one of the most complete assessments to date. || There are three categories of greenhouse gas emissions – called Scopes 1, 2 and 3 – and Google has only meaningfully decreased its Scope 1 emissions since 2019, according to the Kairos report.",2
claim_00190,"In 2024, The Climate Pledge Fund reached a milestone of five years of investments, making 12 new and follow-on investments in multiple industry sectors that affect climate change: transportation and logistics; energy generation, storage, and utilization; buildings; manufacturing and materials; the circular economy; food and agriculture; carbon removal; and water.",Amazon,"The pledge involves quadrupling the production of sustainable fuels such as biofuels, hydrogen and some synthetic fuels by 2035, compared to 2024 levels.",3
claim_00779,"These actions have reduced the carbon footprint of Mac mini by over 80 percent from a business-as-usual scenario.2 To offset the remaining emissions, we apply high-quality carbon credits from nature-based projects.",Apple,"In order to balance the remaining emissions, Apple is using credits from high-quality carbon removal projects, prioritizing nature-based solutions due to their scalability and numerous co-benefits. || This latest project builds on Apple's larger 2030 commitment, which is to ""become carbon neutral across [its] global footprint by using more recycled materials, renewable electricity, and lower‑carbon transportation.""",1
claim_00199,"For example, Shorr Packaging joined The Climate Pledge in 2024, the first of our cardboard suppliers to do so, while the packaging material provider Pregis became our first supplier to obtain Amazon-provided renewable energy credits to support the decarbonization of its converting operations.",Amazon,"These water replenishment initiatives align with Amazon's broader sustainability commitments, including its goal to reach net-zero carbon across its operations by 2040 as a co-founder of The Climate Pledge. || Amazon was a founding signatory of The Climate Pledge, a global commitment to achieve net-zero carbon emissions by 2040.",3
claim_00736,"In 2023, Google.org supported the UNEP International Methane Emissions Observatory in developing a new AI-based automated methane emission detection, alerting, and notification system.",Google,"Google’s carbon emissions rose again last year as it ramps up its AI offerings. || Training AI platforms like ChatGPT, Gemini, Claude, Copilot and others is having such an impact, organisations like Google have recently increased their greenhouse gas emissions, despite global efforts to invest in carbon-neutral initiatives. || Artificial intelligence – the new wave in environmental science
AlphaEarth Foundations is part of a growing trend in environmental research, in which AI turns a continuous stream of satellite observations into practical tools for studying the Earth.",3
claim_00705,"We plan to scale the use of low-carbon concrete across our data center construction projects, as well as expand the use of low-carbon steel—which has the potential to reduce embodied carbon emissions from data center construction by up to 40%.",Google,"Constructing and retrofitting a data center, built from tons of steel and concrete and filled with air conditioning units, computing hardware, and miles of cable, consumes a huge amount of carbon. || In fact, the environmental impact of building data centers is one reason companies like Meta and Google are exploring more sustainable building materials. || Low Carbon Infrastructure is developing the new project.",2
claim_00542,"These on-site solar energy systems are estimated to generate 123,000 MWh annually—enough energy to power over 33,600 European homes—and avoid the equivalent of roughly 47,400 metric tons of CO2e each year compared to nonrenewable electricity sources.",Amazon,"The project is expected to produce enough electricity to power approximately 10,000 US homes upon completion. || Portugal has a target to reach 21GW of operational solar energy capacity by 2030.",3
claim_00089,"Advocating for clean energy infrastructure In August 2023, Microsoft hosted and participated in the Asia-Pacific Economic Cooperation (APEC) roundtable on GHG accounting standards on August 4 and the APEC Energy Ministers Meeting on August 15.",Microsoft,"Microsoft is collaborating with suppliers through coalitions of energy consumers that advocate for increased renewable energy options in Asia. || Cleaner Tech
Microsoft Vies for Scarce Clean Power in Asia Chipmaking Nations
Microsoft Corp. warned that it is competing for limited supplies of clean electricity in parts of East Asia, even as its window to achieve a key 2030 climate target narrows.",3
claim_00941,Carbon-removal calculations also integrate a 20% buffer to account for potential loss and non-permanence during the project lifetime.,Nestle,"The system provides a comprehensive approach to managing its throughput and minimising waste, resulting in an overall lower carbon score, with Raynor Foods having achieved a reduction of more than 400 tonnes in carbon emissions and realised energy savings of over 30%. || Majority of Carbon Credits From Tarnished Project Deemed Bogus
After a two-year probe, findings by the world's largest offset certifier raise pressing questions for the struggling carbon markets. || Methane traps about 80 times more heat than an equivalent amount of carbon dioxide.",3
claim_01099,We assumed investment to abate estimated greenhouse gas emissions from our businesses by 2050.,Exxonmobil,"This estimate includes direct emissions from the companies, as well as emissions released when oil and gas produced is used by others. || “There are many technologies to reduce greenhouse gas emissions, and the world will need all of them. || The plans are to achieve a 20-30% reduction in corporate-wide greenhouse gas intensity; a 40-50% reduction in greenhouse gas intensity of upstream operations; a 70-80% reduction in corporate-wide methane intensity; and a 60-70% reduction in corporate-wide flaring intensity.",3
claim_00256,"In our latest Annual Green Bond Impact Report (PDF), we share progress on the projects funded in 2023.",Apple,"As you can appreciate, we have spent significant time and resources planning for these projects, but as we have only just recently agreed to the specifics, with our two new stakeholders, we will provide relevant updates on timing and budgets as we progress in our engagement with them. || We have successfully absorbed the impact from the high revenue base established in the first quarter of 2024, which we previously discussed.",3
claim_00776,That’s helped reduce the carbon footprint of Mac mini by 80 percent from our business-as-usual scenario.,Apple,It plays a key role in Apple’s goal to be carbon neutral across its entire footprint by the end of the decade.,3
claim_00162,"• Renewable Natural Gas (RNG): In our transportation network, we have compressed natural gas vehicles (CNGs), which can reduce carbon emissions by at least 75% compared to diesel when refueled with RNG.14 In 2024, there were more than 4,400 CNGs on the road in our transportation network—an increase of 12% compared to 2023—which used 39 million gallons of RNG.",Amazon,"Greenhouse gas emissions savings of 1.8 million tons is equivalent to removing almost 400,000 passenger cars from the road for a year. || This isn’t just about reducing emissions-it’s about rethinking how we consume. || This isn’t just about reducing emissions—it’s about rethinking how we consume.",3
claim_01131,"We also met our short-term target to reduce the net carbon intensity of the energy products we sell, with a 6.3% reduction against our target of 6-8% compared with 2016.",Shell,"It has set targets to ramp down its carbon emissions but this year watered them down. || In March last year Shell watered down a key emissions target, setting out a plan to reduce the carbon emissions intensity of the energy it sells by 15-20% by the end of the decade compared with its previous goal of 20%.",4
claim_00601,"We co-invented an innovative recycling technology with the National Renewable Energy Laboratory through the U.S. Department of Energy’s BOTTLE Consortium, creating an entirely circular loop for these materials.18 In 2023, we piloted this solution in Italy and Spain and plan to use the learnings to improve the technology for future use.",Amazon,"Some of its recycling programs just divert packaging to landfills anyway. || According to Amazon, the company continues to innovate its packaging and has taken steps to reduce waste, especially when it comes to plastic.",4
claim_00741,"The emission factors used to calculate scope 2 (market-based) emissions are the same as scope 2 (location-based) with the addition of emission factors specific to energy attribute certificates (EACs), as well as residual mix emission factors where available.",Google,"Scope 2 emissions are indirect emissions that come primarily from the electricity Google purchases to power its facilities, and scope 3 accounts for indirect emissions from all other sources such as suppliers, use of Google’s consumer devices or employee business travel.",3
claim_01183,"Net carbon intensity measures emissions associated with each unit of energy we sell, compared with a 2016 baseline.",Shell,"Shell’s Net Carbon Intensity
Also, in this press release, we may refer to Shell’s “Net Carbon Intensity”, which includes Shell’s carbon emissions from the production of our energy products, our suppliers’ carbon emissions in supplying energy for that production and our customers’ carbon emissions associated with their use of the energy products we sell. || Shell’s net carbon intensity
Also, in this announcement we may refer to Shell’s “net carbon intensity” (NCI), which includes Shell’s carbon emissions from the production of our energy products, our suppliers’ carbon emissions in supplying energy for that production and our customers’ carbon emissions associated with their use of the energy products we sell.",1
claim_00394,"Expanding carbon-free electricity By 2030, 100% of our electricity consumption will be matched by zero carbon electricity purchases 100% of the time.",Microsoft,"Not so clear is whether the carbon removal technologies it’s using to offset its massive electricity will really be on the up and up. || “We need our suppliers also to be getting onto 100% carbon-free energy” said Haig. || With a combined market cap of over $6T USD, their purchasing power will help accelerate the industry to net-zero carbon.",4
claim_00143,"We set bold, long-term aspirations, such as The Climate Pledge—our goal to reach net-zero carbon emissions across our global operations by 2040—and create strategic, actionable plans to achieve them.",Amazon,"Sarah Dimson-Tararuj, Head of Strategic Projects and Programs at The Climate Pledge–Amazon, added: “The commitment of companies like VEMO highlights the power of cross-sector collaboration to meet the ambitious target of The Climate Pledge: net-zero carbon emissions by 2040. || The pledge involves quadrupling the production of sustainable fuels such as biofuels, hydrogen and some synthetic fuels by 2035, compared to 2024 levels.",2
claim_00094,In 2023 we joined the Coalition for Water Recycling to continue advocating to help increase water reuse across the United States.,Microsoft,Microsoft says it is investing in closed-loop water recycling so that facilities using the technology will not require additional groundwater once they're up and running.,2
claim_00467,Combining quantitative data with qualitative insights from our regional operators allows us to make informed investments and advance our zero waste commitments.,Microsoft,Cities can turn “waste” into an asset. || (Aines coauthored a similar analysis focused on California’s waste biomass and contributed to a 2022 lab report prepared for Microsoft to evaluate costs and options for carbon removal purchases.),3
claim_00593,"Featuring more than 326,000 solar panels, Amazon Solar Farm Maryland–CPV Backbone will avoid more than 64,000 metric tons of CO2e each year—the equivalent of taking more than 13,900 cars off the road.",Amazon,"We don’t have to go to the Amazon to see the huge benefit higher levels of CO2 is having on green growth. || Amazon also invests heavily in renewable energy, supporting over 500 solar and wind projects that power its operations. || “In the few months that we have had the solar panels provided by Amazon, we have already seen a significant reduction in our monthly electric bills, Rick Weiss said.",3
claim_00164,"In 2024, 49 building projects across Amazon, including data centers, grocery stores, fulfillment centers, and corporate offices, were constructed with lower-carbon building materials and finishes.",Amazon,"Beyond this needed power, Amazon is undertaking construction projects to increase server capacity. || ""At the same time, it serves as a 'test and learn' platform for Amazon and the broader industry to explore how buildings can become more adaptive, high-performing, and resilient in a changing climate.",3
claim_00207,"In 2024, we also used the Higg Facility Environmental Module to assess our apparel suppliers’ product manufacturing activities and identified engagement opportunities with more carbon-intensive suppliers, such as fabric mills.",Amazon,"- Eco-friendly practices, including sustainable packaging solutions, like those from an amazon packaging center. || These include energy, water, biodiversity, and supply chain initiatives. || We are seeing customers shop in ways that align with their values—specifically in footwear through sustainable and recycled materials and low-impact processes.",3
claim_00929,– Implementation of the Nestlé Net Zero Roadmap and the actions and levers as described in Strategy and policies.,Nestle,"In addition, Nestle India is working on ambitious plans to expand its distribution access to the noodle segment, targeting 6 million outlets in the near future. || Nestle quits global dairy methane alliance
Food giant says it remains committed to net zero goals
Food group Nestle said on Wednesday it had withdrawn from a global alliance for cutting methane emissions that aims to reduce the impact of dairy farming on global warming, reported Reuters.",3
claim_00748,"Energy and electricity We calculate total energy consumption as defined by GRI Disclosure 302-1e-f. Total energy consumption includes all fuel and natural gas consumption; purchased electricity, steam, heating, cooling; and all electricity generated on-site from carbon-free energy technologies.",Google,"That was calculated on the basis of the “local grid energy mix of the consumed electricity, and the embodied emissions of the compute hardware,” according to the research paper. || “Many current AI energy consumption calculations only include active machine consumption, overlooking several of the critical factors discussed above,” Vahdat and Dean wrote. || “In fact, since 2010, the company’s total energy consumption has increased 1,282%,” the report concluded.",3
claim_00334,This has been implemented widely and used by suppliers in the Zero Waste Program.,Apple,"Moreover, numerous companies across the globe are committing to zero-waste goals. || Multinational corporations such as Unilever and Apple Inc have publicly pledged to reduce or eliminate waste.",3
claim_00759,"For all other modes of transport, including rail, taxi, rideshare, non-U.S. personal vehicles, non-U.S. shuttle travel, and a minority of air travel, Alphabet uses WTW emissions factors from the 2024 DEFRA UK Government GHG Conversion Factors.",Google,"Passenger cars and small trucks account for about 16% of U.S. greenhouse gas emissions, according to Environmental Protection Agency data.",3
claim_00728,"Climate Group 24/7 In 2024, Google supported the pilot launch of the Climate Group’s 24/7 Carbon-Free Coalition at New York Climate Week, a new initiative designed to Carbon-Free Coalition encourage energy consumers to move toward 24/7 CFE.",Google,"By investing in Energy Dome and planning commercial deployments in regions like North America, Europe, and Asia-Pacific, Google hopes to meet its goal of operating on 24/7 carbon-free energy by 2030. || For Google, securing a 24/7 carbon-free energy source aligns with its commitment to sustainability while supporting the rapid expansion of its AI and cloud infrastructure in the region.",2
claim_00430,"These efforts will broaden our supplier base and geographic footprint, while accelerating financing for critical infrastructure and afforestation projects to deliver meaningful carbon removal credits by 2030.",Microsoft,"In fiscal 2024, it signed long-term agreements to procure nearly 22 million metric tons of carbon removal. || ""We are making long-term investments that will help us achieve our 2030 carbon negative goals,” Brandon Middaugh, general manager of sustainability markets & Climate Innovation Fund at Microsoft said.",3
claim_00547,"In 2023, AWS joined the Semiconductor Climate Consortium (SCC), an organization focused on reducing carbon emissions across the global semiconductor supply chain.",Amazon,"Sarah Dimson-Tararuj, Head of Strategic Projects and Programs at The Climate Pledge–Amazon, added: “The commitment of companies like VEMO highlights the power of cross-sector collaboration to meet the ambitious target of The Climate Pledge: net-zero carbon emissions by 2040. || At the world-leading global climate event, which is the biggest of its kind, Gorilla Technology and ONE AMAZON will join global leaders, policymakers, financiers and industry partners to address one of the world's most urgent challenges: protecting the Amazon biome.",3
claim_00147,"By the end of 2024, we had reduced the carbon emissions per shipped unit by roughly one-third since 2019.",Amazon,"That region’s carbon emissions fell sharply in 2023, though. || Amazon also saw an 18% year-over-year increase in carbon pollution from its transportation and delivery services between 2019 and 2023, according to Pacific Environment.",4
claim_00351,2023 (Global): Apple joined the global 3xRenewables campaign calling for a tripling of global renewable energy capacity by 2030.,Apple,"“Our new projects in Europe will help us achieve our ambitious Apple 2030 goal.”
In Europe, Apple said it is facilitating the construction of large-scale projects that will add around 3,000 gigawatt-hours of renewable energy to the grid each year by 2030. || The newly announced projects bring about a third of that amount, meaning Apple will need to continue to expand its investment in renewable energy in Europe to becoming completely energy neutral by 2030.",3